"","Reporting unit","Reporting unit type","State","Peer group","Time period","Patient cohort","Number of patients","Percentage of patients seen on time","Peer group average"
"22","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2014–15","Resuscitation",237,100,"100%"
"23","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2015–16","Resuscitation",311,100,"100%"
"24","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2016–17","Resuscitation",311,100,"100%"
"25","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2017–18","Resuscitation",266,100,"100%"
"26","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2018–19","Resuscitation",240,100,"100%"
"27","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2019–20","Resuscitation",184,100,"100%"
"28","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2011–12","Semi-Urgent",15378,75,"71%"
"29","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2012–13","Semi-Urgent",15126,77,"74%"
"30","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2013–14","Semi-Urgent",15090,77,"75%"
"31","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2014–15","Semi-Urgent",14676,76,"74%"
"32","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2015–16","Semi-Urgent",14200,73,"73%"
"33","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2016–17","Semi-Urgent",14136,69,"73%"
"34","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2017–18","Semi-Urgent",14968,70,"73%"
"35","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2018–19","Semi-Urgent",15239,68,"73%"
"36","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2019–20","Semi-Urgent",16215,67,"75%"
"37","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2011–12","Urgent",9780,77,"70%"
"38","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2012–13","Urgent",10261,73,"74%"
"39","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2013–14","Urgent",10547,72,"75%"
"40","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2014–15","Urgent",11815,72,"74%"
"41","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2015–16","Urgent",12336,65,"71%"
"42","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2016–17","Urgent",12216,54,"71%"
"43","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2017–18","Urgent",12306,58,"70%"
"44","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2018–19","Urgent",11763,58,"68%"
"45","Albury Wodonga Health [Albury Campus]","Hospital","NSW","Large regional hospitals","2019–20","Urgent",13081,53,"70%"
"46","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Emergency",771,81,"83%"
"47","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Emergency",950,81,"87%"
"48","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Emergency",910,83,"85%"
"49","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Emergency",883,80,"86%"
"50","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Emergency",874,77,"83%"
"51","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Emergency",948,74,"84%"
"52","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Emergency",924,68,"84%"
"53","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Emergency",803,56,"82%"
"54","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Emergency",841,45,"81%"
"55","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Non-Urgent",3591,92,"92%"
"56","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Non-Urgent",2078,93,"94%"
"57","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Non-Urgent",1591,96,"94%"
"58","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Non-Urgent",1195,97,"95%"
"59","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Non-Urgent",1192,94,"95%"
"60","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Non-Urgent",1017,94,"95%"
"61","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Non-Urgent",1215,93,"94%"
"62","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Non-Urgent",1463,90,"94%"
"63","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Non-Urgent",2072,84,"94%"
"64","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Resuscitation",25,100,"99%"
"65","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Resuscitation",47,100,"100%"
"66","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Resuscitation",30,100,"100%"
"67","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Resuscitation",35,100,"99%"
"68","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Resuscitation",36,100,"100%"
"69","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Resuscitation",42,100,"99%"
"70","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Resuscitation",30,100,"100%"
"71","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Resuscitation",42,100,"100%"
"72","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Resuscitation",40,100,"100%"
"73","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Semi-Urgent",6599,81,"78%"
"74","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Semi-Urgent",7184,80,"82%"
"75","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Semi-Urgent",8031,85,"80%"
"76","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Semi-Urgent",9052,81,"81%"
"77","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Semi-Urgent",8623,78,"80%"
"78","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Semi-Urgent",8321,71,"79%"
"79","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Semi-Urgent",8780,74,"78%"
"80","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Semi-Urgent",9350,70,"77%"
"81","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Semi-Urgent",9597,59,"77%"
"82","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2011–12","Urgent",2796,79,"78%"
"83","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2012–13","Urgent",3604,79,"81%"
"84","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2013–14","Urgent",3705,82,"80%"
"85","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2014–15","Urgent",3905,79,"79%"
"86","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2015–16","Urgent",4459,72,"77%"
"87","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2016–17","Urgent",4340,66,"77%"
"88","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2017–18","Urgent",3875,65,"75%"
"89","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2018–19","Urgent",3593,62,"74%"
"90","Armidale Hospital","Hospital","NSW","Medium regional hospitals","2019–20","Urgent",3548,52,"72%"
"91","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Emergency",1594,80,"79%"
"92","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Emergency",1843,80,"81%"
"93","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Emergency",2127,87,"83%"
"94","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Emergency",2957,83,"80%"
"95","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Emergency",3487,77,"77%"
"96","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Emergency",3981,79,"79%"
"97","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Emergency",4018,84,"77%"
"98","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Emergency",3847,74,"75%"
"99","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Emergency",4404,78,"71%"
"100","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Non-Urgent",1869,NA,"91%"
"101","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Non-Urgent",1839,NA,"92%"
"102","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Non-Urgent",2082,NA,"92%"
"103","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Non-Urgent",1702,95,"91%"
"104","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Non-Urgent",1390,91,"91%"
"105","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Non-Urgent",1472,91,"90%"
"106","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Non-Urgent",1773,91,"90%"
"107","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Non-Urgent",1496,87,"89%"
"108","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Non-Urgent",2305,95,"90%"
"109","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Resuscitation",61,100,"99%"
"110","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Resuscitation",72,100,"100%"
"111","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Resuscitation",69,100,"100%"
"112","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Resuscitation",82,100,"99%"
"113","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Resuscitation",116,100,"100%"
"114","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Resuscitation",116,100,"100%"
"115","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Resuscitation",111,100,"100%"
"116","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Resuscitation",103,100,"100%"
"117","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Resuscitation",193,100,"100%"
"118","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Semi-Urgent",10687,67,"69%"
"119","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Semi-Urgent",10521,69,"71%"
"120","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Semi-Urgent",10797,70,"74%"
"121","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Semi-Urgent",10526,76,"73%"
"122","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Semi-Urgent",9702,74,"72%"
"123","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Semi-Urgent",10254,73,"73%"
"124","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Semi-Urgent",10317,71,"72%"
"125","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Semi-Urgent",10897,63,"71%"
"126","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Semi-Urgent",10956,72,"74%"
"127","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Urgent",8082,72,"67%"
"128","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Urgent",8675,71,"66%"
"129","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Urgent",8302,76,"68%"
"130","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Urgent",8450,80,"66%"
"131","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Urgent",9043,75,"65%"
"132","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Urgent",8895,75,"65%"
"133","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Urgent",9603,73,"63%"
"134","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Urgent",10026,63,"63%"
"135","Auburn Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Urgent",10854,69,"67%"
"136","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Emergency",5356,87,"81%"
"137","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Emergency",5994,85,"84%"
"138","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Emergency",9341,82,"84%"
"139","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Emergency",10124,70,"80%"
"140","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Emergency",10512,85,"77%"
"141","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Emergency",10188,83,"76%"
"142","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Emergency",9930,77,"77%"
"143","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Emergency",10158,70,"76%"
"144","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Emergency",8168,72,"77%"
"145","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Non-Urgent",2730,94,"89%"
"146","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Non-Urgent",2573,NA,"90%"
"147","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Non-Urgent",2300,97,"92%"
"148","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Non-Urgent",1963,96,"92%"
"149","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Non-Urgent",1690,97,"92%"
"150","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Non-Urgent",1860,97,"92%"
"151","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Non-Urgent",1555,92,"92%"
"152","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Non-Urgent",1647,92,"91%"
"153","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Non-Urgent",2657,96,"94%"
"154","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Resuscitation",299,100,"100%"
"155","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Resuscitation",309,100,"100%"
"156","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Resuscitation",369,100,"100%"
"157","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Resuscitation",382,100,"100%"
"158","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Resuscitation",413,100,"100%"
"159","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Resuscitation",436,100,"100%"
"160","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Resuscitation",427,100,"100%"
"161","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Resuscitation",506,100,"100%"
"162","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Resuscitation",470,100,"100%"
"163","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Semi-Urgent",19566,80,"66%"
"164","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Semi-Urgent",19191,80,"68%"
"165","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Semi-Urgent",18086,85,"72%"
"166","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Semi-Urgent",17993,87,"72%"
"167","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Semi-Urgent",16742,89,"73%"
"168","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Semi-Urgent",15884,87,"73%"
"169","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Semi-Urgent",15482,79,"72%"
"170","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Semi-Urgent",14530,78,"71%"
"171","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Semi-Urgent",14637,81,"74%"
"172","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2011–12","Urgent",15522,71,"62%"
"173","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2012–13","Urgent",16856,67,"63%"
"174","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2013–14","Urgent",17780,76,"65%"
"175","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2014–15","Urgent",19407,72,"63%"
"176","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2015–16","Urgent",22502,82,"63%"
"177","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2016–17","Urgent",23172,76,"61%"
"178","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2017–18","Urgent",25660,73,"60%"
"179","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2018–19","Urgent",28476,69,"59%"
"180","Bankstown Lidcombe Hospital","Hospital","NSW","Large metropolitan hospitals","2019–20","Urgent",28832,72,"64%"
"181","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Emergency",1693,82,"80%"
"182","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Emergency",1700,78,"83%"
"183","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Emergency",1741,75,"85%"
"184","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Emergency",1867,85,"83%"
"185","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Emergency",2277,93,"83%"
"186","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Emergency",2573,99,"81%"
"187","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Emergency",2709,92,"80%"
"188","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Emergency",2691,89,"79%"
"189","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Emergency",2442,93,"77%"
"190","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Non-Urgent",1387,95,"88%"
"191","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Non-Urgent",1632,96,"90%"
"192","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Non-Urgent",693,97,"91%"
"193","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Non-Urgent",802,97,"92%"
"194","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Non-Urgent",2279,94,"92%"
"195","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Non-Urgent",2231,95,"91%"
"196","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Non-Urgent",2125,97,"91%"
"197","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Non-Urgent",2234,98,"91%"
"198","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Non-Urgent",4992,98,"92%"
"199","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Resuscitation",82,100,"100%"
"200","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Resuscitation",72,100,"100%"
"201","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Resuscitation",59,100,"100%"
"202","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Resuscitation",54,100,"100%"
"203","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Resuscitation",62,100,"100%"
"204","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Resuscitation",83,100,"100%"
"205","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Resuscitation",120,100,"100%"
"206","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Resuscitation",102,100,"100%"
"207","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Resuscitation",94,100,"100%"
"208","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Semi-Urgent",12902,79,"71%"
"209","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Semi-Urgent",13594,86,"74%"
"210","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Semi-Urgent",13310,85,"75%"
"211","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Semi-Urgent",13328,86,"74%"
"212","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Semi-Urgent",11392,82,"73%"
"213","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Semi-Urgent",11232,86,"73%"
"214","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Semi-Urgent",11927,87,"73%"
"215","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Semi-Urgent",12839,92,"73%"
"216","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Semi-Urgent",11287,90,"75%"
"217","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2011–12","Urgent",6682,76,"70%"
"218","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2012–13","Urgent",6256,81,"74%"
"219","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2013–14","Urgent",7334,84,"75%"
"220","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2014–15","Urgent",7915,84,"74%"
"221","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2015–16","Urgent",7758,79,"71%"
"222","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2016–17","Urgent",7762,81,"71%"
"223","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2017–18","Urgent",8735,79,"70%"
"224","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2018–19","Urgent",8907,86,"68%"
"225","Bathurst Base Hospital","Hospital","NSW","Large regional hospitals","2019–20","Urgent",9440,83,"70%"
"226","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Emergency",1495,89,"79%"
"227","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Emergency",1285,85,"81%"
"228","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Emergency",1465,83,"83%"
"229","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Emergency",1479,92,"80%"
"230","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Emergency",1851,96,"77%"
"231","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Emergency",1976,95,"79%"
"232","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Emergency",2129,92,"77%"
"233","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Emergency",2535,90,"75%"
"234","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Emergency",2688,87,"71%"
"235","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2011–12","Non-Urgent",4284,NA,"91%"
"236","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2012–13","Non-Urgent",4245,NA,"92%"
"237","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2013–14","Non-Urgent",4267,NA,"92%"
"238","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2014–15","Non-Urgent",3994,NA,"91%"
"239","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2015–16","Non-Urgent",4547,NA,"91%"
"240","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2016–17","Non-Urgent",3398,95,"90%"
"241","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2017–18","Non-Urgent",3821,94,"90%"
"242","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2018–19","Non-Urgent",3087,93,"89%"
"243","Belmont Hospital","Hospital","NSW","Medium metropolitan hospitals","2019–20","Non-Urgent",4670,94,"90%"
